[2보] 문대통령 "2050탄소중립위 설치…임기내 기틀 마련"	2020.11.27. 오전 11:18	"모든 경제영역 저탄소화 추진…미래차를 탄소중립 선도산업으로"   문 대통령, 탄소중립 범부처 전략회의 주재 (서울=연합뉴스) 김주성 기자 = 문재인 대통령이 27일 청와대에서 2050 탄소중립 범부처 전략회의를 주재하고 있다. utzza@yna.co.kr   (서울=연합뉴스) 김범현 박경준 기자 = 문재인 대통령은 27일 "민관이 함께 참여하는 대통령 직속 가칭 '2050 탄소중립위원회'를 설치해 탄소중립 사회로의 이행을 속도감 있게 추진해 나가겠다"고 말했다.  문 대통령은 이날 오전 청와대에서 주재한 2050 탄소중립 범부처 전략회의 모두발언에서 "2050년 탄소중립은 거스를 수 없는 세계적 대세"라고 규정한 뒤 "범정부 추진 체계부터 강력히 구축하겠다"며 이같이 밝혔다.  문 대통령은 "에너지 전환 정책이 더 큰 힘을 받을 수 있도록 산업통상자원부에 에너지 전담 차관을 신설하는 방안도 추진하겠다"고 했다.  나아가 "모든 경제 영역에서 저탄소화를 추진해 나가겠다"며 "에너지시스템의 구조적 전환이 그 출발점"이라고 강조했다.  탄소중립 범부처 전략회의 (서울=연합뉴스) 김주성 기자 = 문재인 대통령이 27일 청와대에서 2050 탄소중립 범부처 전략회의를 주재하고 있다. utzza@yna.co.kr   이어 "화석연료에서 신재생에너지로 에너지 주공급원을 전환하고, 전력망 확충과 지역 중심의 분산형 전원 체계를 확산할 것"이라며 "재생에너지, 수소, 에너지 IT 등 3대 에너지 신산업 육성에 주력하겠다"고 밝혔다.  또한 "특별히 미래차를 탄소중립 선도산업으로 육성하겠다"며 "전기차·수소차 생산과 보급을 확대하고, 충전소를 대폭 확충해 산업생태계를 미래차 중심으로 대대적으로 전환하겠다"고 말했다.  그러면서 "기후변화에 대응하는 특별기금 신설과 함께 탄소인지 예산 제도 등 기후변화에 친화적인 재정 제도 도입을 검토하겠다"고 언급했다.  문 대통령은 "탄소중립은 적어도 30년을 내다보고 일관된 방향으로 힘있게 추진해야 할 과제"라며 "우리 정부 임기 내 탄소중립으로 나아가는 확실한 기틀을 마련하겠다"고 덧붙였다.  탄소중립 범부처 전략회의 주재하는 문 대통령 (서울=연합뉴스) 김주성 기자 = 문재인 대통령이 27일 청와대에서 2050 탄소중립 범부처 전략회의를 주재하고 있다. utzza@yna.co.kr   kbeomh@yna.co.kr  kjpark@yna.co.kr  ▶코로나19 속보는 네이버 연합뉴스[구독 클릭] ▶[팩트체크] ▶제보하기  <저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>	
21	더 늦기전에 해야할 것이 지금의 추장관과 윤총장의 문제이니 그것부터 해결하시오.  이 나라에는 대통령이 있는 가? 있다면 현재의 시국과 국민의 피곤함을 모르고 여론조사 수치만 쳐다보는 무능한 리더십의 전형이라 볼수 밖에,,, 역사를 보면 현재를 판단할 수 있지 않을까? 결국은 재임후 하산할 때 남는 건 빈깡통이지 ㅉㅉ	1.0	0	0
22	검찰 정치중립 시킨다더니 탄소중립한다고 지롤하고있네~ 도데체 4년동안 뭐하고 자빠진거냐? 재인아~	1.0	0	0
23	더늦기전에 꺼져줄래!!	1.0	0	0
24	이 정부가 무언가를 하겠다고 야심찬 발표를 할때마다 그것이 가져오는 결과는 늘 국민들의 부담으로만 다가왔다. 2050탄소중립위 역시 마찬가지일 것이다.	1.0	0	0
25	문창들에게 한마디 한다...평생 문재인 똥이나 닦으면서 살아라... 그런데 문제는 문재인 똥싼거 니들이 치우지도 않지...결국은 문재인 싼똥 차기 정권과 문재인을 싫어하는 국민들이 결국 짐승만도 못한 니들땜에 똥치우면서 평생 살아야 한다.. 각각의 국민들이 문재인이 싼똥 치우려면 얼마나 걸릴지...?? 진짜 답답한 나라다...문재인 똥냄새가 진동하는 나라가 되었으니... 탈원전으로 인한 피해 결국 고스란히 국민들이 다 치워야 한다..전기 모자라면 또 석탄발전밖에 더 있나..?? 결국 한국은 탈원전 북한은 원전 10기지원 방안강구..	1.0	0	0
26	말이나 행동이 다른 부류 ..문빠 코로나 젊은것들 술집에 천지다  .또 니편이라 안 막냐	1.0	0.0	0
27	한번도 경험하지못한나라를 경험하고 있다 퉷	0.0	0	0
28	또 어떤 놈들 챙겨주고 싶어서?	0.0	0	0
29	아무것도 하지말고 주딩이 꾹다물고 눈말 멀뚱멀뚱하다  집에 가라.....	0.0	0	0
30	하지말라. 또 뭔 재앙을 내리려고. 제발 혈세 당진하고 헛짓 좀 하지 말길	0.0	0	0
31	그냥 청와대에서 밥이나 쳐무라	0.0	0	0
32	제발 아무것도하지마라 입도 뻥끗하지마	0.0	0	0
33	30년을 일관되게? 5년을 일관되게 부동산정책을 개판쳐서 나라꼬라지가 개판 되었는데 30년을 일관되게? 자연을 다 훼손하려고? 조용히 있다가 퇴임하세요.	0.0	0	0
34	헛소리의 달인   문무능	0.0	0	0
35	이거는 확진자 급증은 한마디도 안하고 나중에 발표해도 되는 뉴딜정책만 나불거라냐	0.0	0	0
36	또 뭔 사고를 칠려고 틀을 마련한데....그냥 제발 가만히 둬라 다음 능력자들이 하게...	0.0	0	0
37	임기전에 저 프로젝트 한다면서 돈 열라게 빼돌릴 방침이군.. 썩을 놈들..	0.0	0	0
38	한국은 원자력 발전소 없애고, 북한에는 원전 지어준다고 했다지??   ㅋㅋㅋ	0.0	0	0
39	앞으로 남은 임기 1년 4개월동안 아무것도 안하고 연차휴가쓰고 놀러다녀도 아무말 안할테니 제발 부동산 문제부터 시작해서 아무것도 건들지말고 그냥 냅둬주라 제발.. 뭐만 건드렸다하면 국민들 등꼴만 계속 휘잖아..	0.0	0	0
40	뒤에수어서 원격정치하느라고생하네.총알받이앞세우고 자기는모르는척 국민의삶이야 난모른다는식으로 패척하는이중성 그냥가만히 있어라.제발	0.0	0	0
41	벌리는 일마다 백성들은 고통이 따른다. 15년된 노후 경유차 폐차 만 하더라도 4륜구동은 저감장치를 부착할수도 없고 1년간 유예해주는 것이 전부이다. 근본 원인부터 해결해야 되는 것이 아닌가? 중국의 미세먼지는 말한마디 하지 못하고 서민들 고통부터 주는 것은 잘못된 정책이 아닌가? 누구를 위한 법과제도인 알 수가 없는 나라이다. 무슨일이든 문제점부터 살피는 것이 순서이다.	0.0	0	0
42	저탄소의 핵심은 원자력이야.... 니가 밀고 있는 태양력, 풍력 아무짝에도 소용없어...  니가 탈원전하니 석탄, LNG 발전소만 더 돌리자나...그럼 탄소 발생 더 되고..... 치매 문재인.... 415 부정선거 사형. 북에 원전 공급 이적죄 사형....	0.0	0	0
43	지금 탄소중립이 문제가 아니라 그렇게 정권이 자랑하던 코로나  K방역 무너져 쏟아져 나오는 코로나감염자부터 해결책을 제시해라 뭐시중한지 진정 모르시나 나몰라라하는건가	0.0	0	0
44	무슨 헛소리고 ? 속 시끄러운거 정리 안하고 !하여튼 책임감 없다니까 그저 바라만 볼뿐 !	0.0	0	0
45	그 얼굴 보고 있느라면 한숨이 절로난다. 추미애 국법질서 농락사건 애써 외면하는 그 모습이 오히려 본인한테 마이너스 된다는 걸 왜 모르나. 대통령 취임당시 했던 얘기 다 허언에 식언까지 국민들에게서 이미 떠나있는 모양새다. 퇴임 후에 조용하길 바란다.	0.0	0	0
46	나라가 망국의 길로 치닫고 있는데 어찌 저기서	0.0	0	0
47	제발 더이상 나라망치지말고 퇴임때까지 아무것도 하지마라	0.0	0	0
48	그냥 관망하고 임기채웅고 물러나는것이 국민 도와주는것이다	0.0	0	0
49	그냥 정의로워 보였다. 그냥 기득권이 싫었다. 그래서 뽑았다. 그런데 그들은 신흥 기득권이었다. 아니 오래전부터 정의로운척 했던 기득권이었다. 시민단체로, 노동운동으로, 피해자들을 대변했고 약자들을 대변해왔다. 그런 그들이 만든 세상은 더없이 정의로울 줄 알았다. 하지만 권력유지를 위해서는 더 많은 서민을 만들어야했고, 다같이 잘살자가 아니라 다같이 못살자를 외치면서도 그들의 이해집단에는 한없는 특혜와 이익을 주었다. 힘들게 지금까지 지켜지고 있던 자유, 경쟁, 성장은 인권, 평등이라는 허울좋은 말장난에 넘어간지 오래되었다.	0.0	0	0
50	저런 인간을 대통령이라고  .   .. 속터지네	0.0	0	0
51	뭐를 먼저해야하는지 일의 우선순위가 무엇인지..판단하는 능력에 문제가 생긴것같네요...	0.0	0	0
52	위선ᆢ	0.0	0	0
53	강아지 뿔~~ㅌ	0.0	0	0
54	경험해보지 못한 나라..수직으로 곤두박칠치는 이런나라 정말 경험 못 했는데	0.0	0	0
55	단 지금 북한이  핵미사일들로 저난리를 하는데 중립국해서 뭐지으면 그거 폭파하면 그떄의 대책상황을 만드시면될듯하네요	0.0	0	0
56	미친말 한마리 또 납시요,여기~~~	0.0	0	0
57	짱깨한테 나라를 넘겨라 그냥 ㅇㅇ	0.0	0	0
58	지랄도 염병이다. 자유민주주의를 독재국가 하위 국가로 만든자가 뭐 한다고라	0	0	0
59	탄소세 조만간 또 신설하겠구만..	0	0	0
60	개와돼지는 왜 사람들이 나를개돼지로알까궁금해하지~ 궁금해하지마세요!그렇게태어난거에요,초현실시대 파악못하잔아요~	0	0	0
61	슬며시 꺼저라 그게 이나라를 위하는길 아 너는 짱깨국 애국자던가	0	0	0
62	지금 안나갈려면  그 가벼운 입(주디 ?) 딱 닫고 아무것도하지 말고, 벌리지도 말고 끝날때까지 말춤이나 보면서 짜파구리나 먹어면서 가만이 있으면 좋겠는데......	0	0	0
63	제발!!!!!!!!!!	0	0	0
64	무능한 인간아 그냥 찌그러져 있어.	0	0	0
65	헛소리 지꺼리고 자빠져다.임기내 기틀? 할줄 이는게 뭐가 있다고...당신은 다른거 하지말고 너거 졸개들 도덕공부부터 시켜라.내각이고 청와대참모고 옳게 되어묵은 넘이  별로 안보인다.원래 데모하던것들이라서 머리에 든건 없을기라는거 안다. 행동거지라도 바로 해야지.맨날 야당 붙들고 시비나 걸고 국민들 편가르기나 하고 국고 퍼내 부칸한테 갖다바칠 궁리나 하고.당신보면 성질  나서 미치삐것다.	0	0	0
66	말로는 뭘못해 실천한게  한가지라도 있서면 답해봐라	0	0	0
67	나두 뭔가 일하고 있다는걸 보여주고 싶은거니?  발등의 불부터 꺼라!!!   지금은 코로나 대책회의를 할때지!!!부동산 대책회의를 하던지 추미애 징계를 논하던지!!!  윤.추 둘다 짤라버리던지!!!  나라는 시끄러운데 외면만하고 청와대 한구석에 앉아 난 미래를 논하고 있네~ 해봤자  비웃음만 산다.!!!  제발 k방역인지 뭔지라도 제대로 좀 해라!!!	0	0	0
68	ㅋㅋㅋㅋ  그들만의 정부와 그들만의  리그	0	0	0
69	헛소리말구 애미추나 해결해라	0	0	0
70	지역 중심의 분산형 전원 체계 : 중국에 돈을 바치겠다.	0	0	0
71	ㅋㅋㅋㅋㅋㅋㅋ 댓글알바들 ㅂㄷㅂㄷ 귀엽네	0	0	0
72	하지말아줘...	0	0	0
73	개소리  멍멍~	0	0	0
74	나대는 꺼붕,,,,,, 숨어버린 문재인,,,,,,,,	0	0	0
75	그냥 장기 휴가 내라,,졸지말고 그냥 자	0	0	0
76	그냥 내려오시죠..아님 제발 좀 가만있던가	0	0	0
77	죄인아디지라  쓰벙노마너가튼 쓰벙노믈  그네 신발련  때문에뽑아찌만  이  시벅띠끼가 더 나빵저끄튼 노마	0	0	0
78	닥치고꺼져라 뚱딴지같은딴소리하는거 더이상듣기싫다 저게대통령이냐? 탄소가 지근중하냐? 코로나핑계댔다 이젠 탄소핑계 옛다엿이나먹어라	0	0	0
79	겨울철 전력상황이 심각할 수 있다고 총리께서 말씀하셨다...너는 뭐하고 있다 이런 말이냐 하냐? 여름도 아니고 겨울에 전력상황이 심각하다고??? 진짜 태어나서 처음 듣는 말이네...	0	0	0
80	지업적 세울려고 대도안한 기구들만 쳐만들고있네	0	0	0
81	아가릴를 찢어버린다......닥쳐라!!!...개!~놈씨키야!!!........ㅉㅉㅉ	0	0	0
82	대통령 ! 추미애 좀 치워줘요! 안그래도 힘든 국민들한테 더스트레스 주고 뭐하짓임?  다음 증권 절대 못잡음! 추미애부터 해결하고 다른 일 하세요!	0	0	0
83	응 그전에 니 탄핵되서 감빵행 ㅅㄱ	0	0	0
84	빨리 백신이나 수입해서 맞게 해달라구~~	0	0	0
85	1. 석탄 발전소 없애라고 하면서 북한산 석탄 수입하는 건 뭐냐? 2. 전기자동차 확대보급 한다면서 원전 없애는 건 뭐냐? (전기차 충전은 고압으로 한다) 태양광으로 절대 할 수 없다 3. 시골마을 돌아다녀 봐라. 태양광 패널 대부분은 고장난체 그냥 빗물 방지용으로 사용하고 있다. 산업폐기물은 어떻게 처리 할건데?	0	0	0
86	일 하지마라~얼마나 말아 처묵처묵 하려고	0	0	0
87	문무능이  임기내 탄핵기틀이나 만들자	0	0	0
88	주식뚜자해서 재미보나? 농업국가만든다고하고 탈원전하고 태양광하고 자꾸 망하는거만 골라하지?왜그러지?	0	0	0
89	법법자	0	0	0
90	이빨도   안좋고하니   제발  푹 쉬시다가  가세요	0	0	0
91	에궁~ 답이없다~ 대한국민이 불쌍타!	0	0	0
92	탄소가 뭔지는 아니?  네생각에는 아마도 O2 라고 할거야!  탄소저감 및 친환경 발전은 원자력밖에 없다는걸 초등학생도 안다.	0	0	0
93	원전없는 탄소중립은 불가능하다	0	0	0
94	당신이 할일은 부동산 정상화. 김현미 걷어내고 당신 임기초 집값으로 돌려놔 딴짓해서 망치지말고 이거나해	0	0	0
95	제발 뭐 좀 하지 마시고 때가되면 나오세요..제발요	0	0	0
96	재인아 제갈입좀 닥치고 가만히 있어줘~~	0	0	0
97	이사람을 보면 창귈영화에 장동건 보는것같네!	0	0	0
98	그래서 전세폭등은?	0	0	0
99	아휴. 개여객기	0	0	0
100	앞으로 대통령 뽑지 말자	0	0	0
101	너. 모하니	0	0	0
102	제발ㆍ  암것도 하지마세요   먼가 벌여놓고 마무리는 암것도 안하고  돈만 갖다 쏟아버리는데 ᆢ 정말  걱정된다규요ㅠ	0	0	0
103	OOO	0	0	0
104	그냥 가만히 계시지 ㅎㅎㅎ	0	0	0
105	임기가1년 조금넘게 남은양반이 30년동안 할것을 한다니 우습다. 당장 앞에 놓인 추미애,김현미나 치워라.	0	0	0
106	탄소 줄인다는놈이 탈원전 ㅋㅋㅋㅋㅋ	0	0	0
107	임기내에 본인이 싼 똥이나 치우길	0	0	0
108	부동산도 못 잡으면서 뭘 한다고?	0	0	0
109	뭐하세요!!!!, 뭐하냐고요!!! 걍 쉬세요	0	0	0
110	저 짐승 만도못한인간아 나라가 망국의기리로간다 중국똥구   쳐 빨더니 전염병으로국민다죽는다	0	0	0
111	임기때까지 닥치고 있어라	0	0	0
112	앵무새...저런게 대통령이라니...	0	0	0
113	아무것도 안하면 정말 좋을텐데	0	0	0
114	백신은 임기후?	0	0	0
115	니 양심에 중립이나 지키세요. 인간쓰레기가 쓰레기 치우라고 고래고래 소리지르면 그게 ㅂ.신이지 제정신박힌 놈이에요?안그래요아카펠라문재인씨?	0	0	0
116	그냥 냅둬...제발.....건드리기만 하면 절단 내는 선수야ㅋ	0	0	0
117	제발 아무것도 하지마시고 다음 정권에 넘겨요...제발 부탁합니다.	0	0	0
118	현재 주가 올라가고 양산되고있는 중국산 차 수입할 생각이라면 하면 진짜 뇌구조 검사해봐야한다.	0	0	0
119	제발 임기내 아무것도 하지 말아주세요. 정 하고싶다면 추미애만이라도 정리해주면 좋겠어요.	0	0	0
120	탄소가 뭔지는 알고있냐.? 국민 여러분 앞으론 쟈를 대통령으로 검색하면 不法査察 이랍니다.! 고로 대똥령 뭉재앙이라고 검색해야 될듯 하네요.! 또한 불법사찰은 청와대 경내에 寺刹이있고 주지스님은 저능아이고 총무스님은 짱해성인가하는 넘이있고 비구니는 샘물 정수기가 썩은 물을 백성들에게 마시라고 하고있을것이다.! 어째 추운 날씨덕인지 삶은소대가리수육과 돼지머리수육에 쐐주가 땡기는걸까.?	0	0	0
121	무능하고 거짓을 일삼는 부도덕한 대통령!!!	0	0	0
122	정치중립이나 제대로 하세요?어문 얘기하지 말고요. 그런데 탄소중립이 뭔지나 알고 떠드시는거에요?	0	0	0
123	발등에 불떨어졌는데 애써 외면하고 먼산만 보고있구나...발 잘라야할지도 모른다 이 문가노마	0	0	0
124	또 얼마를 ......	0	0	0
125	좀 가만이 있어. 아무것도 하지말란니까...!	0	0	0
126	당면한  현실 인식을 전혀  못하는  무능한  새  끼.	0	0	0
127	안좋은 논란거리는 다 빠지고, 뜬구름 잡는 소리의 대가. 재앙님	0	0	0
128	마이 부족한	0	0	0
129	적당히해라 제발	0	0	0
130	문어벙이가한다면 왜이리불안한걸꺄	0	0	0
131	어버리 추파리에 대해 버벅대지말고 답해라. 탄소보다 더급하다	0	0	0
132	저 빙 ㅅ 은 유류세 이상해서 전기차 사라고 하겠지. 전기차를 잘 만들면 알아서 넘어간다. 어디서 국민을 농락해?	0	0	0
133	죄인이 개~놈씨키야!!!....네놈이 살겠다고 헌정질서를 파괴해???.....죽기 싫으면 죄를 짓지 말아야지!!!.......@@@@@	0	0	0
134	더 늦기 전에 꺼져 주세요.	0	0	0
135	이사람 이야기는 기사쓰지마라 구토나온다	0	0	0
136	태양열 전문가 노영민이 해먹고~~~  펀드는 장하성이 해먹고~~~	0	0	0
137	문재인의 신적폐~~문재인, 추미애, 윤성렬 모두 국정조사가 답이다.	0	0	0
138	임기가 왤케 지루하냐? 하루가 1년 같다	0	0	0
139	나랏돈 많이 빠지네	0	0	0
140	찌질한 이 놈 왜 얼굴 드리밀었지 계속 뒤에서 쩌리짓 안하고...	0	0	0
141	그럼 원전 제가동 인가요	0	0.0	0
142	잘하는 일입니다.	0	0.0	0
